Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS
202100-5943	ALKOHOLSORTIMENTSNÄMNDEN	BOX 2218	103 15	STOCKHOLM				08-7000800	08-7000988	registratur@kammarkollegiet.se	www.kammarkollegiet.se/rattsavdelningen/alkoholsortimentsnamnden	2007:1216
202100-3625	ALLMÄNNA REKLAMATIONSNÄMNDEN	BOX 174	101 23	STOCKHOLM	KUNGSHOLMSTORG 5	112 21	STOCKHOLM	08-50886000	08-50886001	arn@arn.se	www.arn.se	2015:739
202100-6834	ANSVARSNÄMNDEN FÖR DJURENS HÄLSO- OCH SJUKVÅRD	BOX 322	551 15	JÖNKÖPING							www.vetansvar.se/introsida/startsida.4.778a5d1001f29869a7fff2121.html	2009:302
202100-2114	ARBETSFÖRMEDLINGEN		113 99	STOCKHOLM	HÄLSINGEGATAN 38	113 43	STOCKHOLM	0771-600000	08-50880199	registrator@arbetsformedlingen.se	www.arbetsformedlingen.se	2007:1030
202100-3476	ARBETSGIVARVERKET	BOX 3267	103 65	STOCKHOLM	SVEAVÄGEN 44	111 34	STOCKHOLM	08-7001300	010-1505551	registrator@arbetsgivarverket.se	www.arbetsgivarverket.se	2007:829
202100-2148	ARBETSMILJÖVERKET (AV)		112 79	STOCKHOLM	LINDHAGENSGATAN 133	112 51	STOCKHOLM	010-7309000	08-7301967	arbetsmiljoverket@av.se	www.av.se	2007:913
202100-5950	ARVFONDSDELEGATIONEN	BOX 2218	103 15	STOCKHOLM	BIRGER JARLSGATAN 16	114 34	STOCKHOLM	08-7000800		info@arvsfonden.se	www.arvsfonden.se	2004:484
202100-3690	BARNOMBUDSMANNEN	BOX 22106	104 22	STOCKHOLM	NORR MÄLARSTRAND 6	112 20	STOCKHOLM	08-6922950	08-6546277	info@barnombudsmannen.se	www.barnombudsmannen.se	2007:1021
202100-4011	BLEKINGE TEKNISKA HÖGSKOLA		371 79	KARLSKRONA	VALHALLAVÄGEN 1	371 41	KARLSKRONA	0455-385000	0455-385057	info@bth.se	www.bth.se	1993:100
202100-3278	BOKFÖRINGSNÄMNDEN	BOX 7849	103 99	STOCKHOLM	BRUNNSGATAN 3	111 38	STOCKHOLM	08-7878028	08-219788	bfn@bfn.se	www.bfn.se	2017:153
202100-5489	BOLAGSVERKET		851 81	SUNDSVALL	STUVARVÄGEN 21	852 29	SUNDSVALL	0771-670670	060-129840	bolagsverket@bolagsverket.se	www.bolagsverket.se	2007:1110
202100-3989	BOVERKET	BOX 534	371 23	KARLSKRONA	DROTTNINGGATAN 18	371 31	KARLSKRONA	0455-353000	0455-353100	registraturen@boverket.se	www.boverket.se	2012:546
202100-0068	BROTTSFÖREBYGGANDE RÅDET	BOX 1386	111 93	STOCKHOLM	TEGNÉRGATAN 23	111 40	STOCKHOLM	08-52758400	08-4119075	info@bra.se	www.bra.se	2016:1201
202100-3435	BROTTSOFFERMYNDIGHETEN	BOX 470	901 09	UMEÅ	STORGATAN 49	903 26	UMEÅ	090-708200	090-178353	registrator@brottsoffermyndigheten.se	www.brottsoffermyndigheten.se	2007:1171
202100-6909	CENTRALA DJURFÖRSÖKSETISKA NÄMNDEN		551 82	JÖNKÖPING							www.cdfn.se	1988:539
202100-5463	CENTRALA ETIKPRÖVNINGSNÄMNDEN	BOX 1035	101 38	STOCKHOLM	VÄSTRA JÄRNVÄGSGATAN 3	111 64	STOCKHOLM	08-54677610	08-54644180	kansli@cepn.se	www.epn.se	2007:1068
202100-1819	CENTRALA STUDIESTÖDSNÄMNDEN		851 82	SUNDSVALL	NORRA TJÄRNGATAN 2	852 37	SUNDSVALL	060-186000	077-1276000	registrator@csn.se	www.csn.se	2007:1071
202100-0050	DATAINSPEKTIONEN	BOX 8114	104 20	STOCKHOLM	DROTTNINGGATAN 29 PLAN 5	111 51	STOCKHOLM		08-6528652	datainspektionen@datainspektionen.se	www.datainspektionen.se	2007:975
202100-6842	DELEGATIONEN FÖR FOLKRÄTTSLIG GRANSKNING AV VAPENPROJEKT		103 33	STOCKHOLM								2007:936
202100-6701	DELEGATIONEN MOT SEGREGATION	ALFRED NOBELS ALLÉ 7	141 52	HUDDINGE	ALFRED NOBELS ALLÉ 7	141 52	HUDDINGE	010-1407700				2017:1085
202100-6073	DISKRIMINERINGSOMBUDSMANNEN	BOX 4057	169 04	SOLNA	RÅSUNDAVÄGEN 18	169 67	SOLNA	08-12020700		do@do.se	www.do.se	2008:1401
202100-6081	DOMARNÄMNDEN	BOX 2330	103 18	STOCKHOLM	BIRGER JARLS TORG 5	111 28	STOCKHOLM	08-56166950	08-243405	domarnamnden@dom.se	www.domstol.se/Om-Sveriges-Domstolar/Domarnamnden	2010:1793
202100-6552	E-HÄLSOMYNDIGHETEN	BOX 913	391 29	KALMAR	SÖDRA LÅNGGATAN 60	392 31	KALMAR	010-4586200			www.ehalsomyndigheten.se	2013:1031
202100-4979	EKOBROTTSMYNDIGHETEN	BOX 22098	104 22	STOCKHOLM	FLEMINGGATAN 14	112 26	STOCKHOLM	010-5629000	08-6134019	huvudregistrator@ekobrottsmyndigheten.se	www.ekobrottsmyndigheten.se	2015:744
