Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS	Sort
202100-2122	ARBETSDOMSTOLEN	BOX 2018	103 11	STOCKHOLM	STORA NYGATAN 2 A-B	111 27	STOCKHOLM	08-6176600	08-6176615	kansliet@arbetsdomstolen.se	www.arbetsdomstolen.se	1988:1137	1
202100-2742	DOMSTOLSVERKET		551 81	JÖNKÖPING	KYRKOGATAN 32	553 16	JÖNKÖPING	036-155300	036-165721	domstolsverket@dom.se	www.domstol.se	1988:317	4
202100-6313	FÖRSVARSUNDERRÄTTELSEDOMSTOLEN	BOX 1097	164 25	KISTA	GULLFOSSGATAN 6	164 40	KISTA	08-55504500	08-55504520	undom@undom.se	www.undom.se	2009:966	5
202100-2742	ALINGSÅS TINGSRÄTT	BOX 126	441 23	ALINGSÅS	SÖDRA RINGGATAN 23	441 33	ALINGSÅS	0322-79300		alingsas.tingsratt@dom.se	www.alingsastingsratt.domstol.se	1988:317	9
202100-2742	ATTUNDA TINGSRÄTT	BOX 940	191 29	SOLLENTUNA	TINGSVÄGEN 11	191 61	SOLLENTUNA	08-56169500		attunda.tingsratt@dom.se	www.attundatingsratt.domstol.se	1988:317	9
202100-2742	BLEKINGE TINGSRÄTT	BOX 319	371 25	KARLSKRONA	RÅDHUSGATAN 2 RÅDHUSET, STORTORGET	371 34	KARLSKRONA	0455-335400	0455-26858	blekinge.tingsratt@dom.se	www.blekingetingsratt.domstol.se	1988:317	9
202100-2742	BORÅS TINGSRÄTT	BOX 270	501 13	BORÅS	ÖSTERLÅNGGATAN 35-37	503 31	BORÅS	033-177000		boras.tingsratt@dom.se	www.borastingsratt.domstol.se	1988:317	9
202100-2742	EKSJÖ TINGSRÄTT	BOX 230	575 23	EKSJÖ	SOFIEHOLMSGATAN 7	575 33	EKSJÖ	0381-38400		eksjo.tingsratt@dom.se	www.eksjotingsratt.domstol.se	1988:317	9
202100-2742	ESKILSTUNA TINGSRÄTT	BOX 363	631 05	ESKILSTUNA	RADEMACHERGATAN 8	632 20	ESKILSTUNA	016-4030300	016-123620	eskilstuna.tingsratt@dom.se	www.eskilstunatingsratt.domstol.se	1988:317	9
202100-2742	FALU TINGSRÄTT	BOX 102	791 23	FALUN	KULLEN 4	791 31	FALUN	023-48200		falu.tingsratt@dom.se	www.falutingsratt.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I FALUN	BOX 45	791 21	FALUN	KULLEN 4	791 31	FALUN	023-3830000	023-3830080	forvaltningsrattenifalun@dom.se	www.forvaltningsrattenifalun.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I GÖTEBORG OCH MIGRATIONSDOMS	BOX 53197	400 15	GÖTEBORG	STEN STUREGATAN 14	411 39	GÖTEBORG	031-7327000		forvaltningsrattenigoteborg@dom.se	www.forvaltningsrattenigoteborg.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I HÄRNÖSAND	BOX 314	871 27	HÄRNÖSAND	BACKGRÄND 9	871 32	HÄRNÖSAND	0611-460600	0611-511820	forvaltningsratteniharnosand@dom.se	www.forvaltningsratteniharnosand.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I JÖNKÖPING	BOX 2201	550 02	JÖNKÖPING	HAMNGATAN 15	553 16	JÖNKÖPING	036-156600	036-156655	forvaltningsrattenijonkoping@dom.se	www.forvaltningsrattenijonkoping.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I KARLSTAD	BOX 568	651 12	KARLSTAD	RÅDHUSET STORA TORGET	652 24	KARLSTAD	054-148500	054-148530	forvaltningsrattenikarlstad@dom.se	www.forvaltningsrattenikarlstad.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I LINKÖPING	BOX 406	581 04	LINKÖPING	BRIGADGATAN 3	587 58	LINKÖPING	013-251100	013-251140	forvaltningsrattenilinkoping@dom.se	www.forvaltningsrattenilinkoping.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I LULEÅ OCH MIGRATIONSDOMSTOL	BOX 849	971 26	LULEÅ	SKEPPSBROGATAN 43	972 31	LULEÅ	0920-295490	0920-220459	forvaltningsrattenilulea@dom.se	www.forvaltningsrattenilulea.domstol.se	1988:317	9
202100-2742	FÖRVALTNINGSRÄTTEN I MALMÖ	BOX 4522	203 20	MALMÖ	KALENDEGATAN 6	211 35	MALMÖ	040-353500	040-972490	forvaltningsrattenimalmo@dom.se	www.forvaltningsrattenimalmo.domstol.se	1988:317	9
