"lastname",frequency
"Abrahamsson",9814
"Adamsson",1764
"Adolfsson",8049
"Af",828
"Ahlberg",3722
"Ahlén",752
"Ahlgren",3309
"Ahlin",2046
"Ahlqvist",2303
"Ahlstrand",785
"Ahlström",3987
"Ahl",1847
"Albertsson",1858
"Albinsson",1597
"Alexandersson",3884
"Alfredsson",4494
"Algotsson",758
"Almén",995
"Almgren",2355
"Almqvist",3384
"Almström",709
"Alm",5405
"Anderberg",1979
"Andersen",1487
"Andersson",366750
"Andreasson",10663
"Andrén",2688
"André",781
"Antonsson",3752
"Appelgren",1032
"Appelqvist",780
"Arnesson",891
"Aronsson",6976
"Arvidsson",12093
"Ask",1516
"Asplund",4029
"Asp",2799
"Assarsson",796
"Augustsson",5995
"Axelsson",23188
"Axén",753
"Backlund",3502
"Backman",3609
"Backström",935
"Back",1168
"Bark",831
"Beckman",1251
"Bengtsson",42304
"Benjaminsson",958
"Bergdahl",1606
"Bergendahl",705
"Berger",1023
"Berggren",11312
"Bergh",1179
"Bergkvist",3747
"Berglind",1318
"Berglin",736
"Berglund",19815
"Bergman",13156
"Bergmark",724
"Bergquist",1415
"Bergqvist",8477
"Bergstedt",1151
"Bergsten",2096
"Bergstrand",1950
"Bergström",21817
"Bergvall",2158
"Berg",19152
"Berlin",1450
"Berndtsson",1582
"Bernhardsson",1573
"Berntsson",5229
"Bertilsson",2825
"Birgersson",1553
"Bjurström",943
"Björck",705
"Björklund",10790
"Björkman",6798
"Björkqvist",813
"Björk",12242
"Björling",978
"Björnberg",705
"Björnsson",836
"Björn",1470
"Bladh",1011
"Blad",1147
"Blixt",2286
"Blomberg",5532
"Blomdahl",755
"Blomgren",3227
"Blomkvist",2756
"Blomquist",1253
"Blomqvist",8813
"Blom",9002
"Boberg",1694
"Bodén",1230
"Bodin",2789
"Bogren",1224
"Bohlin",2226
"Bohman",1617
"Bolin",2723
"Boman",5384
"Bondesson",1326
"Borgström",2556
"Borg",7193
"Boström",7597
"Brandt",3804
"Bratt",1160
"Brink",1623
"Broberg",3107
"Brodén",1021
"Brodin",2343
"Brolin",1980
"Broman",2837
"Brorsson",1528
"Broström",1788
"Bruhn",778
"Brundin",987
"Bryngelsson",698
"Brändsträm",706
"Brännström",2772
"Burman",2563
"Burström",818
"Bylund",2478
"Byström",4016
"Bäcklund",1686
"Bäckman",4097
"Bäckström",7006
"Bäck",3054
"Börjesson",8033
"Carlberg",1514
"Carlén",1012
"Carlson",1150
"Carlsson",33429
"Carlström",1524
"Cederberg",1303
"Cedergren",876
"Cederholm",1482
"Cederlund",810
"Ceder",808
"Christensen",1247
"Christensson",1881
"Christiansson",1510
"Claesson",5425
"Classon",912
"Collin",1070
"Dahlberg",8947
"Dahlén",1796
"Dahlgren",5980
"Dahlin",3972
"Dahlman",1287
"Dahlqvist",3714
"Dahlström",5702
"Dahl",7309
"Damberg",692
"Danielsson",17511
"Davidsson",7002
"Degerman",799
"De",1528
"Edberg",1964
"Edgren",840
"Edholm",1356
"Edin",2032
"Edlund",6154
"Edman",2169
"Edström",4201
"Edvardsson",3842
"Edvinsson",1595
"Ehn",1147
"Einarsson",1841
"Ekberg",4510
"Ekblad",1293
"Ekblom",1202
"Ekdahl",2159
"Ekelund",2686
"Ekholm",2886
"Eklund",14527
"Eklöf",2339
"Ekman",6582
"Ekstedt",685
"Ekstrand",2727
"Ekström",10322
"Ekvall",1661
"Ek",8137
"Elfström",1346
"Elfving",1031
"Elg",686
"Eliasson",12448
"Elofsson",2411
"Emanuelsson",4068
"Emilsson",1882
"Enberg",944
"Engberg",2962
"Engblom",1212
"Engdahl",2686
"Englund",7584
"Engman",3129
"Engqvist",1093
"Engstrand",1172
"Engström",15911
"Engvall",2101
"Eng",1013
"Enqvist",857
"Enström",1790
"Ericson",2093
"Ericsson",4703
"Eriksson",177848
"Erlandsson",6454
"Ersson",1140
"Esbjörnsson",810
"Eskilsson",1297
"Evertsson",878
"Fagerberg",1310
"Fagerlund",979
"Fagerström",1808
"Fahlén",1190
"Fahlgren",820
"Fahlström",942
"Falck",748
"Falk",7188
"Fast",1493
"Ferm",1792
"Fernström",1279
"Filipsson",1184
"Flink",2161
"Flodin",2157
"Fogelberg",1072
"Folkesson",1524
"Forsberg",16336
"Forsell",2399
"Forsgren",2646
"Forslund",4358
"Forsman",3456
"Forsmark",744
"Forsström",1584
"Forss",707
"Fors",3934
"Frank",2166
"Fransén",773
"Fransson",16402
"Franzén",5487
"Fredin",1124
"Fredlund",921
"Fredriksson",20366
"Freij",850
"Friberg",6949
"Frick",1176
