name,persons
Aaba,2
Aabdi,2
Aabha,2
Aabo,6
Aada,15
Aadam,9
Aadan,43
Aadel,3
Aaden,10
Aadhira,6
Aadhya,24
Aaditri,2
Aadow,2
Aadrika,2
Aadrita,2
Aadvi,3
Aadvika,4
Aadya,21
Aae,2
Aaed,2
Aaesha,5
Aafia,4
Aafiya,2
Aafje,4
Aafke,9
Aagaard,14
Aagje,2
Aagot,63
Aagoth,4
Aagurd,3
Aahana,7
Aahd,2
Aaida,3
Aaidah,4
Aaila,5
Aaima,3
Aaira,6
Aairah,7
Aaisha,22
Aaishah,3
Aaiza,3
Aaja,2
Aakanksha,6
Aako,3
Aakool,2
Aakriti,2
Aala,14
Aalaa,10
Aaleyah,11
Aali,2
Aalia,17
Aaliah,2
Aalin,2
Aalinda,2
Aaliya,49
Aaliyah,278
Aallotar,14
Aaltje,10
Aalvik,5
Aalya,3
Aamal,2
Aamand,3
Aamanda,2
Aamen,2
Aamena,4
Aamer,12
Aamin,2
Aamina,59
Aaminah,3
Aamino,17
Aamir,7
Aamira,3
Aamna,11
Aamu,7
Aan,7
Aana,4
Aanchal,2
Aanna,3
Aanshi,2
Aanvi,3
Aanya,19
Aaougoth,3
Aara,2
Aarabhi,2
Aaradhya,15
Aarati,2
Aaratrika,2
Aaravi,2
Aaricia,7
Aarifah,2
Aariis,2
Aarika,3
Aarini,2
Aarna,23
Aarohi,8
Aaron,17
Aarthi,3
Aarthy,2
Aarti,21
Aartje,2
Aaruhi,3
Aarushi,10
Aarvi,5
Aarya,16
Aas,5
Aasa,12
Aase,334
Aasha,16
Aashi,3
Aashild,4
Aashima,2
Aashna,4
Aasho,5
Aashrita,2
Aashritha,4
Aashvi,6
Aasia,9
Aasiya,11
Aasiyah,7
Aasiyo,6
Aasma,6
Aasne,2
Aasta,4
Aastha,9
Aatef,2
Aathira,2
Aatika,4
Aava,9
Aavosdotter,2
Aavya,4
Aaya,27
Aayah,4
Aayan,2
Aayana,2
Aayat,13
Aayid,2
Aayla,6
Aaysha,2
Aayushi,5
Aaza,2
Aazam,11
Aazeen,2
Aba,23
Abaadir,6
Abaas,13
Abaay,2
Ababa,4
Ababaker,2
Ababakir,2
Ababakr,2
Ababu,2
Abad,6
Abadi,18
Abadir,4
Abadit,28
Abah,2
Abahina,2
Abakar,6
Abaker,5
Abakr,3
