name,persons
Aaba,2
Aabha,2
Aada,12
Aadhira,5
Aadhya,22
Aaditri,2
Aadrika,2
Aadrita,2
Aadvi,3
Aadvika,4
Aadya,21
Aaesha,4
Aafia,4
Aafiya,2
Aafje,3
Aafke,4
Aagje,2
Aagot,24
Aahana,7
Aahd,2
Aaida,3
Aaidah,4
Aaila,4
Aaima,3
Aaira,6
Aairah,7
Aaisha,22
Aaishah,2
Aaiza,3
Aaja,2
Aakanksha,6
Aakriti,2
Aala,13
Aalaa,10
Aaleyah,10
Aalia,17
Aaliah,2
Aaliya,44
Aaliyah,225
Aaltje,3
Aalya,3
Aamal,2
Aamanda,2
Aamena,4
Aamina,58
Aaminah,3
Aamino,17
Aamira,3
Aamna,11
Aamu,3
Aan,6
Aana,4
Aanchal,2
Aanna,3
Aanshi,2
Aanvi,3
Aanya,19
Aarabhi,2
Aaradhya,14
Aarati,2
Aaratrika,2
Aaravi,2
Aaricia,3
Aarifah,2
Aarika,3
Aarini,2
Aarna,23
Aarohi,8
Aaron,5
Aarthi,3
Aarthy,2
Aarti,13
Aaruhi,3
Aarushi,9
Aarvi,5
Aarya,15
Aasa,10
Aase,175
Aasha,16
Aashi,3
Aashild,2
Aashima,2
Aashna,3
Aasho,5
Aashrita,2
Aashritha,4
Aashvi,6
Aasia,9
Aasiya,11
Aasiyah,7
Aasiyo,5
Aasma,5
Aasne,2
Aasta,3
Aastha,9
Aathira,2
Aatika,4
Aava,6
Aavya,4
Aaya,26
Aayah,4
Aayan,2
Aayana,2
Aayat,12
Aayla,4
Aayushi,4
Aaza,2
Aazam,9
Aazeen,2
Aba,3
Abaay,2
Ababa,4
Abadit,28
Abah,2
Abahina,2
Abantika,2
Abarna,2
Abaynesh,4
Abba,2
Abbas,3
Abbassia,2
Abbe,4
Abber,3
Abbey,6
Abbi,2
Abbie,19
Abbigail,2
Abby,33
Abbygail,6
Abda,2
Abdalla,2
Abde,2
Abdi,12
Abdia,4
Abdio,4
Abdirahman,3
Abdiwahab,2
Abdiyo,8
Abdul,2
Abdulkadir,2
Abdullahi,6
Abe,2
Abear,2
Abeba,179
Abebayehu,2
Abebech,12
Abebesh,3
Abebu,2
Abeda,14
Abedeh,3
Abeeha,14
Abeer,500
Abeera,14
Abegail,14
Abeir,20
Abela,3
Abelendani,2
Abelina,4
Abella,3
Abelle,2
Abena,7
Abenan,2
Abeni,3
Aber,36
Aberash,13
Abetare,11
Abha,6
Abhigna,2
Abhilasha,6
Abhipsa,3
Abhirami,2
Abi,7
Abia,6
Abibat,2
Abibatou,2
Abibe,4
Abida,59
Abidah,2
Abide,19
Abie,10
Abier,13
Abieyuwa,2
Abigael,27
Abigail,421
Abigayil,4
Abigayl,10
Abigayle,2
Abigel,10
Abigél,4
Abigiya,2
Abigya,2
Abiha,20
Abiibo,2
Abiir,9
