country;country_alternativename;resident_singular;resident_plural;adjective
Afghanistan;;afghan (-er);;afghansk
Albanien;;alban (-er);;albansk
Algeriet;;algerier (=);;algerisk
Andorra;;andorran (-er);;andorransk
Angola;;angolan (-er);;angolansk
Antigua och Barbuda;;antiguan (-er), barbudan (-er);;antiguansk, barbudansk
Argentina;;argentinare (=);;argentinsk
Armenien;;armenier (=);;armenisk
Australien;;australier (=);;australisk
Azerbajdzjan;;azerbajdzjanier (=), azer (-er), azerier (=);;azerbajdzjansk, azerisk
Bahamas;;bahaman (-er);;bahamansk
Bahrain;;bahrainier (=);;bahrainsk
Bangladesh;;bangladeshier (=);;bangladeshisk
Barbados;;barbadier (=);;barbadisk
Belgien;;belgier (=), belgare (=);;belgisk
Belize;;belizier (=);;belizisk
Benin;;beninier (=);;beninsk
Bhutan;;bhutanes (-er);;bhutanesisk
Bolivia;;bolivian (-er);;boliviansk
Bosnien-Hercegovina;;bosnier (=);;bosnisk
Botswana;;botswanier (=);;botswansk
Brasilien;;brasilian (-er);;brasiliansk
Brunei;;bruneier (=);;bruneisk
Bulgarien;;bulgar (-er);;bulgarisk
Burkina Faso;;burkinier (=);;burkinsk
Burundi;;burundier (=);;burundisk
Centralafrikanska republiken;;centralafrikan (-er);;centralafrikansk
Chile;;chilenare (=);;chilensk
Colombia;;colombian (-er);;colombiansk
Costa Rica;;costarican (-er);;costaricansk
Cypern;;cypriot (-er);;cypriotisk
Danmark;;dansk (-ar);;dansk
Djibouti;;djiboutier (=);;djiboutisk
Dominica;;dominiker (=);;dominikisk
Dominikanska republiken;;dominikan (-er);;dominikansk
Ecuador;;ecuadorian (-er);;ecuadoriansk
Egypten;;egyptier (=);;egyptisk
Ekvatorialguinea;;ekvatorialguinean (-er);;ekvatorialguineansk
Elfenbenskusten;;ivorian (-er);;ivoriansk
El Salvador;;salvadoran (-er);;salvadoransk
Eritrea;;eritrean (-er);;eritreansk
Estland;;estländare (=), est (-er);;estländsk, estnisk
Etiopien;;etiopier (=);;etiopisk
Fiji;;fijian (-er);;fijiansk
Filippinerna;;filippinier (=);;filippinsk
Finland;;finländare (=), finne (finnar), finlandssvensk (-ar);;finländsk, finsk, finlandssvensk
Frankrike;;fransman (fransmän);;fransk
Förenade arabemiraten;;emiratier (=);;emiratisk
Gabon;;gabones (-er);;gabonesisk
Gambia;;gambier (=);;gambisk
Georgien;;georgier (=);;georgisk
Ghana;;ghanan (-er);;ghanansk
Grekland;;grek (-er);;grekisk
Grenada;;grenadier (=);;grenadisk
Guatemala;;guatemalan (-er);;guatemalansk
Guinea;;guinean (-er);;guineansk
Guinea-Bissau;;bissauguinean (-er);;bissauguineansk
Guyana;;guyanan (-er);;guyansk
Haiti;;haitier (=);;haitisk
Honduras;;honduran (-er);;honduransk
Indien;;indier (=);;indisk
Indonesien;;indones (-er);;indonesisk
Irak;;irakier (=);;irakisk
Iran;;iranier (=);;iransk
Irland;;irländare (=);;irländsk
Island;;islänning (-ar);;isländsk
Israel;;israel (-er);;israelisk
Italien;;italienare (=);;italiensk
Jamaica;;jamaican (-er);;jamaicansk
Japan;;japan (-er);;japansk
Jemen;;jemenit (-er);;jemenitisk
Jordanien;;jordanier (=);;jordansk
Kambodja;;kambodjan (-er);;kambodjansk
Kamerun;;kamerunier (=);;kamerunsk
Kanada;;kanadensare (=);;kanadensisk
Kap Verde;;kapverdian (-er);;kapverdiansk
Kazakstan;;kazakstanier (=),kazak (-er);;kazakstansk, kazakisk
Kenya;;kenyan (-er);;kenyansk
Kina;;kines (-er);;kinesisk
Kirgizistan;;kirgizistanier (=),kirgiz (-er);;kirgizistansk, kirgizisk
Kiribati;;kiribatier (=);;kiribatisk
Komorerna;;komorier (=);;komorisk
Kongo-Brazzaville;Republiken Kongo;(brazzaville)kongoles (-er);;kongolesisk, brazzavillekongolesisk
Kongo-Kinshasa;Demokratiska republiken Kongo;(kinshasa)kongoles (-er);;kongolesisk, kinshasakongolesisk
Kosovo;;kosovan (-er), kosovoserb (-er), kosovoalban (-er);;kosovansk, kosovoserbisk, kosovoalbansk
Kroatien;;kroat (-er);;kroatisk
Kuba;;kuban (-er);;kubansk
Kuwait;;kuwaitier (=);;kuwaitisk
Laos;;laotier (=);;laotisk
Lesotho;;lesothier (=);;lesothisk
Lettland;;lettländare (=),lett (-er);;lettländsk, lettisk
Libanon;;libanes (-er);;libanesisk
Liberia;;liberian (-er);;liberiansk
Libyen;;libyer (=);;libysk
Liechtenstein;;liechtensteinare (=);;liechtensteinsk
Litauen;;litauer (=);;litauisk
Luxemburg;;luxemburgare (=);;luxemburgsk
Madagaskar;;madagask (-er);;madagaskisk
Makedonien;;makedonier (=);;makedonisk, makedonsk
Malawi;;malawier (=);;malawisk
