id,country,country_alternativename,resident_singular,resident_plural,adjective
0,Afghanistan,,['afghan'],['afghaner'],afghansk
1,Albanien,,['alban'],['albaner'],albansk
2,Algeriet,,['algerier'],['algerier'],algerisk
3,Andorra,,['andorran'],['andorraner'],andorransk
4,Angola,,['angolan'],['angolaner'],angolansk
5,Antigua och Barbuda,,"['antiguan', 'barbudan']","['antiguaner', 'barbudaner']","antiguansk, barbudansk"
6,Argentina,,['argentinare'],['argentinare'],argentinsk
7,Armenien,,['armenier'],['armenier'],armenisk
8,Australien,,['australier'],['australier'],australisk
9,Azerbajdzjan,,"['azerbajdzjanier', 'azer', 'azerier']","['azerbajdzjanier', 'azerer', 'azerier']","azerbajdzjansk, azerisk"
10,Bahamas,,['bahaman'],['bahamaner'],bahamansk
11,Bahrain,,['bahrainier'],['bahrainier'],bahrainsk
12,Bangladesh,,['bangladeshier'],['bangladeshier'],bangladeshisk
13,Barbados,,['barbadier'],['barbadier'],barbadisk
14,Belgien,,"['belgier', 'belgare']","['belgier', 'belgare']",belgisk
15,Belize,,['belizier'],['belizier'],belizisk
16,Benin,,['beninier'],['beninier'],beninsk
17,Bhutan,,['bhutanes'],['bhutaneser'],bhutanesisk
18,Bolivia,,['bolivian'],['bolivianer'],boliviansk
19,Bosnien-Hercegovina,,['bosnier'],['bosnier'],bosnisk
20,Botswana,,['botswanier'],['botswanier'],botswansk
21,Brasilien,,['brasilian'],['brasilianer'],brasiliansk
22,Brunei,,['bruneier'],['bruneier'],bruneisk
23,Bulgarien,,['bulgar'],['bulgarer'],bulgarisk
24,Burkina Faso,,['burkinier'],['burkinier'],burkinsk
25,Burundi,,['burundier'],['burundier'],burundisk
26,Centralafrikanska republiken,,['centralafrikan'],['centralafrikaner'],centralafrikansk
27,Chile,,['chilenare'],['chilenare'],chilensk
28,Colombia,,['colombian'],['colombianer'],colombiansk
29,Costa Rica,,['costarican'],['costaricaner'],costaricansk
30,Cypern,,['cypriot'],['cyprioter'],cypriotisk
31,Danmark,,['dansk'],['danskar'],dansk
32,Djibouti,,['djiboutier'],['djiboutier'],djiboutisk
33,Dominica,,['dominiker'],['dominiker'],dominikisk
34,Dominikanska republiken,,['dominikan'],['dominikaner'],dominikansk
35,Ecuador,,['ecuadorian'],['ecuadorianer'],ecuadoriansk
36,Egypten,,['egyptier'],['egyptier'],egyptisk
37,Ekvatorialguinea,,['ekvatorialguinean'],['ekvatorialguineaner'],ekvatorialguineansk
38,Elfenbenskusten,,['ivorian'],['ivorianer'],ivoriansk
39,El Salvador,,['salvadoran'],['salvadoraner'],salvadoransk
40,Eritrea,,['eritrean'],['eritreaner'],eritreansk
41,Estland,,"['estländare', 'est']","['estländare', 'ester']","estländsk, estnisk"
42,Etiopien,,['etiopier'],['etiopier'],etiopisk
43,Fiji,,['fijian'],['fijianer'],fijiansk
44,Filippinerna,,['filippinier'],['filippinier'],filippinsk
45,Finland,,"['finländare', 'finne', 'finlandssvensk']","['finländare', 'finnar', 'finlandssvenskar']","finländsk, finsk, finlandssvensk"
46,Frankrike,,['fransman'],['fransmän'],fransk
47,Förenade arabemiraten,,['emiratier'],['emiratier'],emiratisk
48,Gabon,,['gabones'],['gaboneser'],gabonesisk
49,Gambia,,['gambier'],['gambier'],gambisk
50,Georgien,,['georgier'],['georgier'],georgisk
51,Ghana,,['ghanan'],['ghananer'],ghanansk
52,Grekland,,['grek'],['greker'],grekisk
53,Grenada,,['grenadier'],['grenadier'],grenadisk
54,Guatemala,,['guatemalan'],['guatemalaner'],guatemalansk
55,Guinea,,['guinean'],['guineaner'],guineansk
56,Guinea-Bissau,,['bissauguinean'],['bissauguineaner'],bissauguineansk
57,Guyana,,['guyanan'],['guyananer'],guyansk
58,Haiti,,['haitier'],['haitier'],haitisk
59,Honduras,,['honduran'],['honduraner'],honduransk
60,Indien,,['indier'],['indier'],indisk
61,Indonesien,,['indones'],['indoneser'],indonesisk
62,Irak,,['irakier'],['irakier'],irakisk
63,Iran,,['iranier'],['iranier'],iransk
64,Irland,,['irländare'],['irländare'],irländsk
65,Island,,['islänning'],['islänningar'],isländsk
66,Israel,,['israel'],['israeler'],israelisk
67,Italien,,['italienare'],['italienare'],italiensk
68,Jamaica,,['jamaican'],['jamaicaner'],jamaicansk
69,Japan,,['japan'],['japaner'],japansk
70,Jemen,,['jemenit'],['jemeniter'],jemenitisk
71,Jordanien,,['jordanier'],['jordanier'],jordansk
72,Kambodja,,['kambodjan'],['kambodjaner'],kambodjansk
73,Kamerun,,['kamerunier'],['kamerunier'],kamerunsk
74,Kanada,,['kanadensare'],['kanadensare'],kanadensisk
75,Kap Verde,,['kapverdian'],['kapverdianer'],kapverdiansk
76,Kazakstan,,"['kazakstanier', 'kazak']","['kazakstanier', 'kazaker']","kazakstansk, kazakisk"
77,Kenya,,['kenyan'],['kenyaner'],kenyansk
78,Kina,,['kines'],['kineser'],kinesisk
79,Kirgizistan,,"['kirgizistanier', 'kirgiz']","['kirgizistanier', 'kirgizer']","kirgizistansk, kirgizisk"
80,Kiribati,,['kiribatier'],['kiribatier'],kiribatisk
81,Komorerna,,['komorier'],['komorier'],komorisk
82,Kongo-Brazzaville,Republiken Kongo,['(brazzaville)kongoles'],['(brazzaville)kongoleser'],"kongolesisk, brazzavillekongolesisk"
83,Kongo-Kinshasa,Demokratiska republiken Kongo,['(kinshasa)kongoles'],['(kinshasa)kongoleser'],"kongolesisk, kinshasakongolesisk"
