name,alternative_name,acronym
Europaparlamentet,,
Europeiska rådet,,
Europeiska unionens råd,ministerrådet,
Europeiska kommissionen,,
EU-domstolen,,
Europeiska centralbanken,,
Europeiska revisionsrätten,,
Europeiska utrikestjänsten,,
Europeiska ekonomiska och sociala kommittén,,
Europeiska regionkommittén,,
Europeiska investeringsbanken,,
Europeiska ombudsmannen,,
Europeiska datatillsynsmannen,,
Computer Emergency Response Team,,CERT
Europeiska byrån för uttagningsprov för rekrytering av personal,Europeiska rekryteringsbyrån,EPSO
Europeiska förvaltningsskolan,,
Europeiska unionens publikationsbyrå,Publikationsbyrån,
