type	name	city
AP-fond	Första AP-fonden	Stockholm
AP-fond	Andra AP-fonden	Göteborg
AP-fond	Tredje AP-fonden	Stockholm
AP-fond	Fjärde AP-fonden	Stockholm
AP-fond	Sjätte AP-fonden	Göteborg
AP-fond	Sjunde AP-fonden	Stockholm
Myndighet under riksdagen	Riksdagens ombudsmän	Stockholm
Myndighet under riksdagen	Riksdagsförvaltningen	Stockholm
Myndighet under riksdagen	Riksrevisionen	Stockholm
Myndighet under riksdagen	Sveriges riksbank	Stockholm
Statligt affärsverk	Luftfartsverket	Norrköping
Statligt affärsverk	Sjöfartsverket	Norrköping
Statligt affärsverk	Svenska kraftnät	Sundbyberg
Statlig förvaltningsmyndighet	Alkoholsortimentsnämnden	
Statlig förvaltningsmyndighet	Allmänna reklamationsnämnden	Stockholm
Statlig förvaltningsmyndighet	Ansvarsnämnden för djurens hälso- och sjukvård	
Statlig förvaltningsmyndighet	Arbetsförmedlingen	Stockholm
Statlig förvaltningsmyndighet	Arbetsgivarverket	Stockholm
Statlig förvaltningsmyndighet	Arbetsmiljöverket (av)	Stockholm
Statlig förvaltningsmyndighet	Arvfondsdelegationen	Stockholm
Statlig förvaltningsmyndighet	Barnombudsmannen	Stockholm
Statlig förvaltningsmyndighet	Blekinge tekniska högskola	Karlskrona
Statlig förvaltningsmyndighet	Bokföringsnämnden	Stockholm
Statlig förvaltningsmyndighet	Bolagsverket	Sundsvall
Statlig förvaltningsmyndighet	Boverket	Karlskrona
Statlig förvaltningsmyndighet	Brottsförebyggande rådet	Stockholm
Statlig förvaltningsmyndighet	Brottsoffermyndigheten	Umeå
Statlig förvaltningsmyndighet	Centrala djurförsöksetiska nämnden	
Statlig förvaltningsmyndighet	Centrala etikprövningsnämnden	Stockholm
Statlig förvaltningsmyndighet	Centrala studiestödsnämnden	Sundsvall
Statlig förvaltningsmyndighet	Datainspektionen	Stockholm
Statlig förvaltningsmyndighet	Delegationen för folkrättslig granskning av vapenprojekt	
Statlig förvaltningsmyndighet	Delegationen mot segregation	Huddinge
Statlig förvaltningsmyndighet	Diskrimineringsombudsmannen	Solna
Statlig förvaltningsmyndighet	Domarnämnden	Stockholm
Statlig förvaltningsmyndighet	E-hälsomyndigheten	Kalmar
Statlig förvaltningsmyndighet	Ekobrottsmyndigheten	Stockholm
Statlig förvaltningsmyndighet	Ekonomistyrningsverket	Stockholm
Statlig förvaltningsmyndighet	E-legitimationsnämnden	
Statlig förvaltningsmyndighet	Elsäkerhetsverket	Kristinehamn
Statlig förvaltningsmyndighet	Energimarknadsinspektionen	Eskilstuna
Statlig förvaltningsmyndighet	Exportkreditnämnden	Stockholm
Statlig förvaltningsmyndighet	Fastighetsmäklarinspektionen	Karlstad
Statlig förvaltningsmyndighet	Fideikommissnämnden	
Statlig förvaltningsmyndighet	Finansinspektionen	Stockholm
Statlig förvaltningsmyndighet	Finanspolitiska rådet	Stockholm
Statlig förvaltningsmyndighet	Folke bernadotteakademin	Sandöverken
Statlig förvaltningsmyndighet	Folkhälsomyndigheten	Solna
Statlig förvaltningsmyndighet	Forskarskattenämnden	
Statlig förvaltningsmyndighet	Forskningsrådet f miljö arella näringar och samh	Stockholm
Statlig förvaltningsmyndighet	Forskningsrådet för hälsa, arbetsliv och välfärd	Stockholm
Statlig förvaltningsmyndighet	Fortifikationsverket	Eskilstuna
Statlig förvaltningsmyndighet	Forum för levande historia	Stockholm
Statlig förvaltningsmyndighet	Försvarets materielverk	Stockholm
Statlig förvaltningsmyndighet	Försvarets radioanstalt	Drottningholm
Statlig förvaltningsmyndighet	Försvarshögskolan	Stockholm
Statlig förvaltningsmyndighet	Försvarsmakten	Stockholm
Statlig förvaltningsmyndighet	Försäkringskassan	Hägersten
Statlig förvaltningsmyndighet	Gentekniknämnden	Solna
Statlig förvaltningsmyndighet	Granskningsnämnden för försvarsuppfinningar	
Statlig förvaltningsmyndighet	Gymnastik- och idrottshögskolan (gih)	Stockholm
Statlig förvaltningsmyndighet	Göteborgs universitet	Göteborg
Statlig förvaltningsmyndighet	Harpsundsnämnden	Mellösa
Statlig förvaltningsmyndighet	Havs- och vattenmyndigheten	Göteborg
Statlig förvaltningsmyndighet	Hälso- & sjukvårdens ansvarsnämnd	
Statlig förvaltningsmyndighet	Högskolan dalarna	Falun
Statlig förvaltningsmyndighet	Högskolan i Borås	Borås
Statlig förvaltningsmyndighet	Högskolan i Gävle	Gävle
Statlig förvaltningsmyndighet	Högskolan i Halmstad	Halmstad
Statlig förvaltningsmyndighet	Högskolan i Kristianstad	Kristianstad
Statlig förvaltningsmyndighet	Högskolan i Skövde	Skövde
Statlig förvaltningsmyndighet	Högskolan väst	Trollhättan
Statlig förvaltningsmyndighet	Högskolans avskiljandenämnd	
Statlig förvaltningsmyndighet	Ilo-kommittén	
Statlig förvaltningsmyndighet	Inspektionen för arbetslöshetsförsäkring	Katrineholm
Statlig förvaltningsmyndighet	Inspektionen för socialförsäkringen	Stockholm
Statlig förvaltningsmyndighet	Inspektionen för strategiska produkter	Kista
Statlig förvaltningsmyndighet	Inspektionen för vård och omsorg	Stockholm
Statlig förvaltningsmyndighet	Institutet för arbetsmarknads-och utbildningspolitisk utvärdering	Uppsala
Statlig förvaltningsmyndighet	Institutet för rymdfysik	Kiruna
Statlig förvaltningsmyndighet	Institutet för språk och folkminnen	Uppsala
Statlig förvaltningsmyndighet	Justitiekanslern	Stockholm
Statlig förvaltningsmyndighet	Jämställdhetsmyndigheten	Angered
Statlig förvaltningsmyndighet	Kammarkollegiet	Stockholm
Statlig förvaltningsmyndighet	Karlstads universitet	Karlstad
Statlig förvaltningsmyndighet	Karolinska institutet	Solna
Statlig förvaltningsmyndighet	Kemikalieinspektionen	Sundbyberg
Statlig förvaltningsmyndighet	Klimatpolitiska rådet	
Statlig förvaltningsmyndighet	Kommerskollegium	Stockholm
Statlig förvaltningsmyndighet	Konjunkturinstitutet	Stockholm
Statlig förvaltningsmyndighet	Konkurrensverket	Stockholm
Statlig förvaltningsmyndighet	Konstfack	Hägersten
Statlig förvaltningsmyndighet	Konstnärsnämnden	Stockholm
Statlig förvaltningsmyndighet	Konsumentverket	Karlstad
Statlig förvaltningsmyndighet	Krigsförsäkringsnämnden	
Statlig förvaltningsmyndighet	Kriminalvården	Norrköping
Statlig förvaltningsmyndighet	Kronofogdemyndigheten	Sundbyberg
Statlig förvaltningsmyndighet	Kungliga biblioteket	Stockholm
Statlig förvaltningsmyndighet	Kungliga konsthögskolan	Stockholm
Statlig förvaltningsmyndighet	Kungliga musikhögskolan	Stockholm
Statlig förvaltningsmyndighet	Kungliga tekniska högskolan	Stockholm
Statlig förvaltningsmyndighet	Kustbevakningen	Karlskrona
Statlig förvaltningsmyndighet	Kärnavfallsfonden	Stockholm
Statlig förvaltningsmyndighet	Lagrådet	
Statlig förvaltningsmyndighet	Lantmäteriet	Gävle
Statlig förvaltningsmyndighet	Linköpings universitet	Linköping
Statlig förvaltningsmyndighet	Linnéuniversitetet	Växjö
Statlig förvaltningsmyndighet	Livrustkammaren och skoklosters slott med stiftelsen hallwylska museet	
Statlig förvaltningsmyndighet	Livsmedelsverket	Uppsala
Statlig förvaltningsmyndighet	Lokala säkerhetsnämnden vid Barsebäck	
Statlig förvaltningsmyndighet	Lokala säkerhetsnämnden vid Forsmark	
Statlig förvaltningsmyndighet	Lokala säkerhetsnämnden vid Oskarshamn	
Statlig förvaltningsmyndighet	Lokala säkerhetsnämnden vid Ringhals	
Statlig förvaltningsmyndighet	Lokala säkerhetsnämnden vid Studsvik	
Statlig förvaltningsmyndighet	Lotteriinspektionen	Strängnäs
Statlig förvaltningsmyndighet	Luleå tekniska universitet	Luleå
Statlig förvaltningsmyndighet	Lunds universitet	Lund
Statlig förvaltningsmyndighet	Läkemedelsverket	Uppsala
Statlig förvaltningsmyndighet	Länsstyrelsen i Blekinge län	Karlskrona
Statlig förvaltningsmyndighet	Länsstyrelsen i Dalarnas län	Falun
Statlig förvaltningsmyndighet	Länsstyrelsen i Gotlands län	Visby
Statlig förvaltningsmyndighet	Länsstyrelsen i Gävleborgs län	Gävle
Statlig förvaltningsmyndighet	Länsstyrelsen i Hallands län	Halmstad
Statlig förvaltningsmyndighet	Länsstyrelsen i Jämtlands län	Östersund
Statlig förvaltningsmyndighet	Länsstyrelsen i Jönköpings län	Jönköping
Statlig förvaltningsmyndighet	Länsstyrelsen i Kalmar län	Kalmar
Statlig förvaltningsmyndighet	Länsstyrelsen i Kronobergs län	Växjö
Statlig förvaltningsmyndighet	Länsstyrelsen i Norrbottens län	Luleå
Statlig förvaltningsmyndighet	Länsstyrelsen i Skåne län	Malmö
Statlig förvaltningsmyndighet	Länsstyrelsen i Stockholms län	Stockholm
Statlig förvaltningsmyndighet	Länsstyrelsen i Södermanlands län	Nyköping
Statlig förvaltningsmyndighet	Länsstyrelsen i Uppsala län	Uppsala
Statlig förvaltningsmyndighet	Länsstyrelsen i Värmlands län	Karlstad
Statlig förvaltningsmyndighet	Länsstyrelsen i Västerbottens län	Umeå
Statlig förvaltningsmyndighet	Länsstyrelsen i Västernorrlands län	Härnösand
Statlig förvaltningsmyndighet	Länsstyrelsen i Västmanlands län	Västerås
Statlig förvaltningsmyndighet	Länsstyrelsen i Västra götalands län	Göteborg
Statlig förvaltningsmyndighet	Länsstyrelsen i Örebro län	Örebro
Statlig förvaltningsmyndighet	Länsstyrelsen i Östergötlands län	Linköping
Statlig förvaltningsmyndighet	Malmö universitet	Malmö
Statlig förvaltningsmyndighet	Medlingsinstitutet	Stockholm
Statlig förvaltningsmyndighet	Migrationsverket	Norrköping
Statlig förvaltningsmyndighet	Mittuniversitetet	Sundsvall
Statlig förvaltningsmyndighet	Moderna museet	Stockholm
Statlig förvaltningsmyndighet	Myndigheten för arbetsmiljökunskap	Gävle
Statlig förvaltningsmyndighet	Myndigheten för delaktighet	Sundbyberg
Statlig förvaltningsmyndighet	Myndigheten för digital förvaltning	Sundsvall
Statlig förvaltningsmyndighet	Myndigheten för familjerätt och föräldraskapsstöd	Stockholm
Statlig förvaltningsmyndighet	Myndigheten för kulturanalys	Stockholm
Statlig förvaltningsmyndighet	Myndigheten för press, radio och tv	Johanneshov
Statlig förvaltningsmyndighet	Myndigheten för samhällsskydd och beredskap (msb)	Karlstad
Statlig förvaltningsmyndighet	Myndigheten för stöd till trossamfund	Bromma
Statlig förvaltningsmyndighet	Myndigheten för tillgängliga medier	Johanneshov
Statlig förvaltningsmyndighet	Myndigheten för tillväxtpolitiska utvärderingar och analyser	Östersund
Statlig förvaltningsmyndighet	Myndigheten för ungdoms-och civilsamhällesfrågor	Stockholm
Statlig förvaltningsmyndighet	Myndigheten för vård- och omsorgsanalys	Stockholm
Statlig förvaltningsmyndighet	Myndigheten för yrkeshögskolan	Västerås
Statlig förvaltningsmyndighet	Mälardalens högskola	Västerås
Statlig förvaltningsmyndighet	Nationalmuseum	Stockholm
Statlig förvaltningsmyndighet	Naturhistoriska riksmuseet	Stockholm
Statlig förvaltningsmyndighet	Naturvårdsverket	Stockholm
Statlig förvaltningsmyndighet	Nordiska afrikainstitutet	Uppsala
Statlig förvaltningsmyndighet	Notarienämnden	
Statlig förvaltningsmyndighet	Nämnden för hemslöjdsfrågor	Stockholm
Statlig förvaltningsmyndighet	Nämnden för styrelserepresentationsfrågor	
Statlig förvaltningsmyndighet	Nämnden mot diskriminering	
Statlig förvaltningsmyndighet	Oljekrisnämnden	
Statlig förvaltningsmyndighet	Patent- och registreringsverket	Stockholm
Statlig förvaltningsmyndighet	Patentombudsnämnden	Sundsvall
Statlig förvaltningsmyndighet	Pensionsmyndigheten	Stockholm
Statlig förvaltningsmyndighet	Polarforskningssekretariatet	Stockholm
Statlig förvaltningsmyndighet	Polismyndigheten	Stockholm
Statlig förvaltningsmyndighet	Post- och telestyrelsen	Stockholm
Statlig förvaltningsmyndighet	Regeringskansliet	Stockholm
Statlig förvaltningsmyndighet	Regionala etikprövningsnämnden i Göteborg	Göteborg
Statlig förvaltningsmyndighet	Regionala etikprövningsnämnden i Linköping	Linköping
Statlig förvaltningsmyndighet	Regionala etikprövningsnämnden i Lund	Lund
Statlig förvaltningsmyndighet	Regionala etikprövningsnämnden i Stockholm	Solna
Statlig förvaltningsmyndighet	Regionala etikprövningsnämnden i Umeå	Umeå
Statlig förvaltningsmyndighet	Regionala etikprövningsnämnden i Uppsala	Uppsala
Statlig förvaltningsmyndighet	Resegarantinämnden	
Statlig förvaltningsmyndighet	Revisorsinspektionen	Stockholm
Statlig förvaltningsmyndighet	Riksantikvarieämbetet	Stockholm
Statlig förvaltningsmyndighet	Riksarkivet	Stockholm
Statlig förvaltningsmyndighet	Riksdagens arvodesnämnd	
Statlig förvaltningsmyndighet	Riksgäldskontoret	Stockholm
Statlig förvaltningsmyndighet	Riksvärderingsnämnden	
Statlig förvaltningsmyndighet	Rymdstyrelsen	Solna
Statlig förvaltningsmyndighet	Rättshjälpnämnden	
Statlig förvaltningsmyndighet	Rättshjälpsmyndigheten	
Statlig förvaltningsmyndighet	Rättsmedicinalverket	Stockholm
Statlig förvaltningsmyndighet	Sameskolstyrelsen	Jokkmokk
Statlig förvaltningsmyndighet	Sametinget	Kiruna
Statlig förvaltningsmyndighet	Sida	Stockholm
Statlig förvaltningsmyndighet	Skatterättsnämnden	
Statlig förvaltningsmyndighet	Skatteverket	Solna
Statlig förvaltningsmyndighet	Skiljenämnden i vissa trygghetsfrågor	
Statlig förvaltningsmyndighet	Skogsstyrelsen	Jönköping
Statlig förvaltningsmyndighet	Skolforskningsinstitutet	Solna
Statlig förvaltningsmyndighet	Skolväsendets överklagandenämnd	
Statlig förvaltningsmyndighet	Socialstyrelsen	Stockholm
Statlig förvaltningsmyndighet	Specialpedagogiska skolmyndigheten	Härnösand
Statlig förvaltningsmyndighet	Statens ansvarsnämnd	
Statlig förvaltningsmyndighet	Statens beredning för medicinsk och social utvärdering	Stockholm
Statlig förvaltningsmyndighet	Statens centrum för arkitektur och design	Stockholm
Statlig förvaltningsmyndighet	Statens energimyndighet	Eskilstuna
Statlig förvaltningsmyndighet	Statens fastighetsverk	Stockholm
Statlig förvaltningsmyndighet	Statens försvarshistoriska museer	Stockholm
Statlig förvaltningsmyndighet	Statens geotekniska institut	Linköping
Statlig förvaltningsmyndighet	Statens haverikommission	Stockholm
Statlig förvaltningsmyndighet	Statens historiska museer	Stockholm
Statlig förvaltningsmyndighet	Statens inspektion för försvarsunderrättelseverksamheten (siun)	Kista
Statlig förvaltningsmyndighet	Statens institutionsstyrelse	Stockholm
Statlig förvaltningsmyndighet	Statens jordbruksverk	Jönköping
Statlig förvaltningsmyndighet	Statens konstråd	Stockholm
Statlig förvaltningsmyndighet	Statens kulturråd	Stockholm
Statlig förvaltningsmyndighet	Statens maritima museer	Karlskrona
Statlig förvaltningsmyndighet	Statens medieråd	Stockholm
Statlig förvaltningsmyndighet	Statens museer för världskultur	Göteborg
Statlig förvaltningsmyndighet	Statens musikverk	Stockholm
Statlig förvaltningsmyndighet	Statens nämnd för arbetstagares uppfinningar	
Statlig förvaltningsmyndighet	Statens servicecenter	Gävle
Statlig förvaltningsmyndighet	Statens skaderegleringsnämnd	
Statlig förvaltningsmyndighet	Statens skolinspektion	Stockholm
Statlig förvaltningsmyndighet	Statens skolverk	Stockholm
Statlig förvaltningsmyndighet	Statens tjänstepensions- och grupplivnämnd	
Statlig förvaltningsmyndighet	Statens tjänstepensionsverk	Sundsvall
Statlig förvaltningsmyndighet	Statens veterinärmedicinska anstalt	Uppsala
Statlig förvaltningsmyndighet	Statens väg- och transportforskningsinstitut	Linköping
Statlig förvaltningsmyndighet	Statens överklagandenämnd	
Statlig förvaltningsmyndighet	Statistiska centralbyrån	Örebro
Statlig förvaltningsmyndighet	Statskontoret	Stockholm
