Land	Namn	Ambassadör/Generalkonsul	PostAdress1	PostAdress2	PostAdress3	PostAdress4	PostAdress5	PostAdress6	PostAdress7	BesöksAdress1	BesöksAdress2	BesöksAdress3	BesöksAdress4	BesöksAdress5	BesöksAdress6	BesöksAdress7	Tfn	Fax	Epost	Webbadress
Afghanistan	Sveriges ambassad Kabul	Tobias Thyberg	Embassy of Sweden	MoI-Street, opposite the MoI	Shar-e Naw	Kabul, Afghanistan				Sveriges Ambassad	MoI-Street, opposite the MoI	Shar-e Naw	Kabul, Afghanistan				+93 20 210 49 12		ambassaden.kabul@gov.se	www.svenska-ambassaden.com/Ambassad/11049/Sverige-i-Kabul
Albanien	Sveriges ambassad Tirana	Johan Ndisi	Sveriges ambassad	56 Rruga Pjeter Budi	1000 Tirana	Albanien				Sveriges ambassad	Rruga Pjeter Budi, 56	Tirana	Albanien				+355 4 238 06 50	+355 4 238 06 60	ambassaden.tirana@gov.se	www.swedenabroad.com/tirana
Algeriet	Sveriges ambassad Alger	Marie-Claire Swärd-Capra	Ambassade de Suède	B.P. 263	160 35 Alger	Algeriet				Sveriges Ambassad	Rue Olof Palme	Hydra Alger					+213 (21) 54 83 33	+213 (21) 54 83 34	ambassaden.alger@gov.se	www.swedenabroad.se/alger
Amerikas förenta stater	Sveriges ambassad Washington	Björn Lyrvall	Embassy of Sweden	2900 K Street NW	Washington, D.C. 20007-5118	USA				Sveriges Ambassad	2900 K Street, NW	Washington, D.C. 20007-5118					+1 (202) 467 2600	+1 (202) 467 2699	ambassaden.washington@gov.se	www.swedenabroad.com/washington
Amerikas förenta stater	Sveriges ständiga representation vid FN i New York	Olof Skoog	Permanent Mission of Sweden to the United Nations	One Dag Hammarskjöld Plaza	New York, N.Y. 10017	USA				Sveriges ständiga representation vid Förenta Nationerna	885 Second Avenue, 46th Floor	New York, NY 10017					+1 212 583 25 00	+1 212 583 2539	sweden@un.int	www.swedenabroad.com/un
Amerikas förenta stater	Sveriges generalkonsulat New York	Annika Rembe	Sveriges Generalkonsulat	New York	New York, NY 10017	USA				Sveriges Generalkonsulat	One Dag Hammarsköld Plaza	885 Second Avenue, 40th floor	New York				+1 212 583 2560	+ 212 583 2585	generalkonsulat.new-york@gov.se	www.swedennewyork.com
Andorra	se Spanien																			
Angola	Sveriges Honorärkonsulat i Angola	Lena Sundh	Embassy of Sweden	c/o Royal Norwegian Embassy	C.P. 3835	Luanda	Angola			Rua Garcia Neto nº 9	Miramar	Luanda					+244 222 447522		ambassaden.luanda@gov.se	www.swedenabroad.com/luanda
Antigua och Barbuda	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Elisabeth Eklund	Regeringskansliet							Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Argentina	Sveriges ambassad Buenos Aires	Babro Elm	Embajada de Suecia	Olga Cossettini 731	C1107CDA Buenos Aires	Argentina				Sveriges Ambassad	Olga Cossettini 731, 2do. piso.	Buenos Aires	Argentina				+54 (11) 4319 5100	+54 (11) 4319 5199	ambassaden.buenos-aires@gov.se	http://www.swedenabroad.com/sv-SE/Ambassader/Buenos-Aires
