country,currency,code
Afghanistan,Afghani,AFA
Albanien,Lek,ALL
Algeriet,Dinar,DZD
Amerikanska Jungfruöarna,Amerikansk dollar,USD
Amerikanska Samoa,Amerikansk dollar,USD
Andorra,Euro,EUR
Angola,Kwanza,AOA
Anguilla,Östkaribisk dollar,XCD
Antigua och Barbuda,Östkaribisk dollar,XCD
Argentina,Peso,ARS
Armenien,Dram,AMD
Aruba,Florin,AWG
Australien,Australisk dollar,AUD
Azerbajdzjan,Manat,AZN
Bahamas,Bahamansk dollar,BSD
Bahrain,Dinar,BHD
Bangladesh,Taka,BDT
Barbados,Barbadisk dollar,BBD
Belgien,Euro,EUR
Belize,Belizisk dollar,BZD
Benin,Franc,XOF
Bermudas,Bermudisk dollar,BMD
Bhutan,Ngultrum,BTN
Bhutan,Rupie,INR
Bolivia,Boliviana,BOB
Bosnien och Hercegovina,Marka,BAM
Botswana,Pula,BWP
Brasilien,Real,BRL
Brittiska jungfruöarna,Amerikansk dollar,USD
Brunei,Bruneisk dollar,BND
Bulgarien,Leva,BGN
Burkina Faso,Franc,XOF
Burma,Kyat,MMK
Burundi,Franc,BIF
Caymanöarna,Caymansk dollar,KYD
Centralafrikanska republiken,Franc,XAF
Chile,Peso,CLP
Colombia,Peso,COP
Cooköarna,Nyzeeländsk dollar,NZD
Costa Rica,Colón,CRC
Cypern,Euro,EUR
Danmark,Krone,DKK
Dominica,Östkaribisk dollar,XCD
Dominikanska republiken,Peso,DOP
Ecuador,Amerikansk dollar,USD
Egypten,Pund,EGP
Elfenbenskusten,Franc,CFA
El Salvador,Amerikansk dollar,USD
Ekvatorialguinea,Franc,XAF
Eritrea,Nakfa,ERN
Estland,Euro,EUR
Etiopien,Birr,ETB
Filippinerna,Peso,PHP
Färöarna,Krone,DKK
Falklandsöarna,Pund,FKP
Fiji,Fijidollar,FJD
Finland,Euro,EUR
Frankrike,Euro,EUR
Franska Guyana,Euro,EUR
Franska Polynesien,Franc,XPF
Gabon,Franc,XAF
Gambia,Dalasi,GMD
Georgien,Lari,GEL
Ghana,Cedi,GHC
Gibraltar,Gibraltar pund,GIP
Gibraltar,Pund,GBP
Grekland,Euro,EUR
Grenada,Östkaribisk dollar,XCD
Grönland,Krone,DKK
Guadeloupe,Euro,EUR
Guam,Amerikansk dollar,USD
Guatemala,Quetzal,GTQ
Guatemala,Amerikansk dollar,USD
Guinea,Franc,GNF
Guinea-Bissau,Franc,XOF
Guyana,Guyansk dollar,GYD
Haiti,Gourde,HTG
Honduras,Lempira,HNL
Hongkong,Hongkongdollar,HKD
Indien,Rupie,INR
Indonesien,Rupiah,IDR
Iran,Rial,IRR
Irak,Dinar,IQD
Irland,Euro,EUR
Island,Krona,ISK
Isle of Man,Pund,GBP
Israel,Shekel,ILS
Italien,Euro,EUR
Jamaica,Jamaicansk dollar,JMD
Japan,Yen,JPY
Jemen,Rial,YER
Jordanien,Dinar,JOD
Kambodja,Riel,KHR
Kamerun,Franc,XAF
Kanada,Kanadensisk dollar,CAD
Kenya,Shilling,KES
Kina,Yuan,CNY
Kiribati,Australisk dollar,AUD
Komorerna,Franc,KMF
Kongo-Brazzaville,Franc,XAF
